stateid,statename,year,vio,mur,shall
1,Alabama,1977,414.3999939,14.19999981,0
1,Alabama,1978,419.1000061,13.30000019,0
1,Alabama,1979,413.2999878,13.19999981,0
1,Alabama,1980,448.5,13.19999981,0
1,Alabama,1981,470.5,11.89999962,0
1,Alabama,1982,447.7000122,10.60000038,0
1,Alabama,1983,416,9.199999809,0
1,Alabama,1984,431.2000122,9.399999619,0
1,Alabama,1985,457.5,9.800000191,0
1,Alabama,1986,558,10.10000038,0
1,Alabama,1987,559.2000122,9.300000191,0
1,Alabama,1988,558.5999756,9.899999619,0
1,Alabama,1989,590.7999878,10.19999981,0
1,Alabama,1990,708.5999756,11.60000038,0
1,Alabama,1991,844.2000122,11.5,0
1,Alabama,1992,871.7000122,11,0
1,Alabama,1993,780.4000244,11.60000038,0
1,Alabama,1994,683.7000122,11.89999962,0
1,Alabama,1995,632.4000244,11.19999981,0
1,Alabama,1996,565.4000244,10,0
1,Alabama,1997,564.5,9.899999619,0
1,Alabama,1998,512.0999756,8.100000381,0
1,Alabama,1999,490.2000122,7.900000095,0
2,Alaska,1977,443.2000122,10.80000019,0
2,Alaska,1978,441.8999939,12.89999962,0
2,Alaska,1979,491.1000061,13.30000019,0
2,Alaska,1980,436,8.899999619,0
2,Alaska,1981,615.7999878,14.60000038,0
2,Alaska,1982,623.7000122,18.5,0
2,Alaska,1983,613.7999878,13.80000019,0
2,Alaska,1984,621.5999756,11.60000038,0
2,Alaska,1985,581.7999878,9.800000191,0
2,Alaska,1986,570.4000244,8.600000381,0
2,Alaska,1987,455.3999939,10.10000038,0
2,Alaska,1988,522.7999878,5.699999809,0
2,Alaska,1989,497.7000122,8,0
2,Alaska,1990,524.5,7.5,0
2,Alaska,1991,613.9000244,7.400000095,0
2,Alaska,1992,660.5,7.5,0
2,Alaska,1993,760.7999878,9,0
2,Alaska,1994,766.2999878,6.300000191,0
2,Alaska,1995,770.9000244,9.100000381,1
2,Alaska,1996,727.7000122,7.400000095,1
2,Alaska,1997,701.0999756,8.899999619,1
2,Alaska,1998,653.9000244,6.699999809,1
2,Alaska,1999,631.5,8.600000381,1
4,Arizona,1977,494.2000122,9.5,0
4,Arizona,1978,552.0999756,9.399999619,0
4,Arizona,1979,593,8.899999619,0
4,Arizona,1980,650.9000244,10.30000019,0
4,Arizona,1981,575.7999878,8.100000381,0
4,Arizona,1982,517,8.300000191,0
4,Arizona,1983,494.2000122,7.199999809,0
4,Arizona,1984,516.0999756,7.800000191,0
4,Arizona,1985,602.5,8,0
4,Arizona,1986,658.2999878,9.300000191,0
4,Arizona,1987,612.5999756,7.5,0
4,Arizona,1988,610.0999756,8.5,0
4,Arizona,1989,599.5999756,6.699999809,0
4,Arizona,1990,652.4000244,7.699999809,0
4,Arizona,1991,670.7000122,7.800000191,0
4,Arizona,1992,670.7999878,8.100000381,0
4,Arizona,1993,715,8.600000381,0
4,Arizona,1994,703.0999756,10.5,0
4,Arizona,1995,713.5,10.39999962,1
4,Arizona,1996,631.5,8.5,1
4,Arizona,1997,623.7000122,8.199999809,1
4,Arizona,1998,577.9000244,8.100000381,1
4,Arizona,1999,551.2000122,8,1
5,Arkansas,1977,322.8999939,8.800000191,0
5,Arkansas,1978,344.1000061,9.100000381,0
5,Arkansas,1979,366.2000122,9.100000381,0
5,Arkansas,1980,335.2000122,9.199999809,0
5,Arkansas,1981,310.2999878,9.100000381,0
5,Arkansas,1982,324.7000122,8.199999809,0
5,Arkansas,1983,297.7000122,7.599999905,0
5,Arkansas,1984,321.3999939,7.5,0
5,Arkansas,1985,347.6000061,7.900000095,0
5,Arkansas,1986,394.7999878,8.100000381,0
5,Arkansas,1987,412,7.599999905,0
5,Arkansas,1988,422.7000122,8.699999809,0
5,Arkansas,1989,473.7000122,8.399999619,0
5,Arkansas,1990,532.2000122,10.30000019,0
5,Arkansas,1991,593.2999878,11.10000038,0
5,Arkansas,1992,576.5,10.80000019,0
5,Arkansas,1993,593.2999878,10.19999981,0
5,Arkansas,1994,595.0999756,12,0
5,Arkansas,1995,553.2000122,10.39999962,0
5,Arkansas,1996,524,9,1
5,Arkansas,1997,526.9000244,9.899999619,1
5,Arkansas,1998,490.2000122,7.900000095,1
5,Arkansas,1999,425.2000122,5.599999905,1
6,California,1977,706,11.5,0
6,California,1978,742.9000244,11.69999981,0
6,California,1979,811.0999756,13,0
6,California,1980,893.5999756,14.5,0
6,California,1981,863,13,0
6,California,1982,814.7000122,11.19999981,0
6,California,1983,772.5999756,10.5,0
6,California,1984,763.4000244,10.60000038,0
6,California,1985,765.2999878,10.5,0
6,California,1986,920.5,11.30000019,0
6,California,1987,918,10.60000038,0
6,California,1988,929.7999878,10.39999962,0
6,California,1989,977.7000122,10.89999962,0
6,California,1990,1045.199951,11.89999962,0
6,California,1991,1089.900024,12.69999981,0
6,California,1992,1119.699951,12.69999981,0
6,California,1993,1077.800049,13.10000038,0
6,California,1994,1013,11.80000019,0
6,California,1995,966,11.19999981,0
6,California,1996,862.7000122,9.100000381,0
6,California,1997,798.2999878,8,0
6,California,1998,703.7000122,6.599999905,0
6,California,1999,627.2000122,6,0
8,Colorado,1977,511.8999939,6.300000191,0
8,Colorado,1978,498,7.300000191,0
8,Colorado,1979,522.0999756,5.800000191,0
8,Colorado,1980,528.5999756,6.900000095,0
8,Colorado,1981,531.7000122,8.100000381,0
8,Colorado,1982,504.2000122,6,0
8,Colorado,1983,476.3999939,6.400000095,0
8,Colorado,1984,457.7999878,5.800000191,0
8,Colorado,1985,471,5.800000191,0
8,Colorado,1986,523.5999756,7,0
8,Colorado,1987,467.5,5.800000191,0
8,Colorado,1988,472.6000061,5.699999809,0
8,Colorado,1989,471.3999939,4.400000095,0
8,Colorado,1990,526,4.199999809,0
8,Colorado,1991,559.2999878,5.900000095,0
8,Colorado,1992,578.7999878,6.199999809,0
8,Colorado,1993,567.2999878,5.800000191,0
8,Colorado,1994,509.6000061,5.400000095,0
8,Colorado,1995,440.2000122,5.800000191,0
8,Colorado,1996,404.5,4.699999809,0
8,Colorado,1997,363.2000122,4,0
8,Colorado,1998,377.8999939,4.599999905,0
8,Colorado,1999,340.5,4.599999905,0
9,Connecticut,1977,282.2999878,4.199999809,0
9,Connecticut,1978,315,4.199999809,0
9,Connecticut,1979,414.2000122,4.199999809,0
9,Connecticut,1980,412.5,4.699999809,0
9,Connecticut,1981,448.1000061,5.400000095,0
9,Connecticut,1982,399.5,5.199999809,0
9,Connecticut,1983,375,4.099999905,0
9,Connecticut,1984,393.7999878,3.900000095,0
9,Connecticut,1985,402,3.799999952,0
9,Connecticut,1986,425.7999878,4.599999905,0
9,Connecticut,1987,419,4.900000095,0
9,Connecticut,1988,455.3999939,5.400000095,0
9,Connecticut,1989,511.7999878,5.900000095,0
9,Connecticut,1990,553.7000122,5.099999905,0
9,Connecticut,1991,539.7000122,5.699999809,0
9,Connecticut,1992,495.2999878,5.099999905,0
9,Connecticut,1993,456.2000122,6.300000191,0
9,Connecticut,1994,455.5,6.599999905,0
9,Connecticut,1995,405.8999939,4.599999905,0
9,Connecticut,1996,412,4.800000191,0
9,Connecticut,1997,390.8999939,3.799999952,0
9,Connecticut,1998,366.2999878,4.099999905,0
9,Connecticut,1999,345.6000061,3.299999952,0
10,Delaware,1977,382.1000061,6,0
10,Delaware,1978,440.7000122,6.699999809,0
10,Delaware,1979,537.2999878,5.699999809,0
10,Delaware,1980,474.7999878,6.900000095,0
10,Delaware,1981,509,6.699999809,0
10,Delaware,1982,559.7999878,5.300000191,0
10,Delaware,1983,453.1000061,4.099999905,0
10,Delaware,1984,435.7000122,4.099999905,0
10,Delaware,1985,433.2999878,4.800000191,0
10,Delaware,1986,427,4.900000095,0
10,Delaware,1987,430.7000122,5.099999905,0
10,Delaware,1988,451.7000122,5.199999809,0
10,Delaware,1989,556.5,5.099999905,0
10,Delaware,1990,655.2000122,5,0
10,Delaware,1991,714.2999878,5.400000095,0
10,Delaware,1992,621.2000122,4.599999905,0
10,Delaware,1993,685.9000244,5,0
10,Delaware,1994,644.2999878,4.699999809,0
10,Delaware,1995,725,3.5,0
10,Delaware,1996,668.2999878,4.300000191,0
10,Delaware,1997,677.9000244,2.5,0
10,Delaware,1998,762.4000244,2.799999952,0
10,Delaware,1999,734,3.200000048,0
11,District of Columbia,1977,1426.5,27.79999924,0
11,District of Columbia,1978,1411.699951,28,0
11,District of Columbia,1979,1608.699951,27.39999962,0
11,District of Columbia,1980,2010.599976,31.5,0
11,District of Columbia,1981,2274.800049,35.09999847,0
11,District of Columbia,1982,2123.100098,30.70000076,0
11,District of Columbia,1983,1915.400024,29.39999962,0
11,District of Columbia,1984,1721.5,28.10000038,0
11,District of Columbia,1985,1624.800049,23.5,0
11,District of Columbia,1986,1505.300049,31,0
11,District of Columbia,1987,1610.300049,36.20000076,0
11,District of Columbia,1988,1921.599976,59.5,0
11,District of Columbia,1989,2141.899902,71.90000153,0
11,District of Columbia,1990,2458.199951,77.80000305,0
11,District of Columbia,1991,2453.300049,80.59999847,0
11,District of Columbia,1992,2832.800049,75.19999695,0
11,District of Columbia,1993,2921.800049,78.5,0
11,District of Columbia,1994,2662.600098,70,0
11,District of Columbia,1995,2661.399902,65,0
11,District of Columbia,1996,2469.800049,73.09999847,0
11,District of Columbia,1997,2024.199951,56.90000153,0
11,District of Columbia,1998,1718.5,49.70000076,0
11,District of Columbia,1999,1627.699951,46.40000153,0
12,Florida,1977,686.7999878,10.19999981,0
12,Florida,1978,765.5999756,11,0
12,Florida,1979,833.9000244,12.19999981,0
12,Florida,1980,983.5,14.5,0
12,Florida,1981,965.0999756,15,0
12,Florida,1982,896.7999878,13.5,0
12,Florida,1983,826.7000122,11.19999981,0
12,Florida,1984,868,11.5,0
12,Florida,1985,941.0999756,11.39999962,0
12,Florida,1986,1036.5,11.69999981,0
12,Florida,1987,1024.400024,11.39999962,0
12,Florida,1988,1117.699951,11.39999962,1
12,Florida,1989,1109.400024,11.10000038,1
12,Florida,1990,1244.300049,10.69999981,1
12,Florida,1991,1184.300049,9.399999619,1
12,Florida,1992,1207.199951,9,1
12,Florida,1993,1206,8.899999619,1
12,Florida,1994,1146.800049,8.300000191,1
12,Florida,1995,1071,7.300000191,1
12,Florida,1996,1051,7.5,1
12,Florida,1997,1023.599976,6.900000095,1
12,Florida,1998,938.7000122,6.5,1
12,Florida,1999,854,5.699999809,1
13,Georgia,1977,439.7999878,11.69999981,0
13,Georgia,1978,482.7999878,14.39999962,0
13,Georgia,1979,558.7000122,17.10000038,0
13,Georgia,1980,555.2999878,13.80000019,0
13,Georgia,1981,548.2000122,17.20000076,0
13,Georgia,1982,478.2000122,12.60000038,0
13,Georgia,1983,456.7000122,8.399999619,0
13,Georgia,1984,478.6000061,9.399999619,0
13,Georgia,1985,507.2000122,10.39999962,0
13,Georgia,1986,587.5999756,11.19999981,0
13,Georgia,1987,576.5,11.80000019,0
13,Georgia,1988,665.2999878,11.69999981,0
13,Georgia,1989,735.7999878,12.69999981,0
13,Georgia,1990,756.2999878,11.80000019,1
13,Georgia,1991,738.2000122,12.80000019,1
13,Georgia,1992,733.2000122,11,1
13,Georgia,1993,723.0999756,11.39999962,1
13,Georgia,1994,667.7000122,10,1
13,Georgia,1995,657.0999756,9.5,1
13,Georgia,1996,638.7000122,8.600000381,1
13,Georgia,1997,606.5999756,7.5,1
13,Georgia,1998,572.7000122,8.100000381,1
13,Georgia,1999,534,7.5,1
15,Hawaii,1977,224.8000031,7.199999809,0
15,Hawaii,1978,270.1000061,6.699999809,0
15,Hawaii,1979,289.7000122,7.199999809,0
15,Hawaii,1980,299.5,8.699999809,0
15,Hawaii,1981,247.6000061,4.800000191,0
15,Hawaii,1982,255.6999969,3.099999905,0
15,Hawaii,1983,252.1000061,5.599999905,0
15,Hawaii,1984,231.8999939,3.299999952,0
15,Hawaii,1985,219.3999939,4.099999905,0
15,Hawaii,1986,245.1999969,4.800000191,0
15,Hawaii,1987,263.2999878,4.800000191,0
15,Hawaii,1988,257.1000061,4,0
15,Hawaii,1989,270.1000061,4.800000191,0
15,Hawaii,1990,280.8999939,4,0
15,Hawaii,1991,241.8000031,4,0
15,Hawaii,1992,258.3999939,3.599999905,0
15,Hawaii,1993,261.2000122,3.799999952,0
15,Hawaii,1994,262.2000122,4.199999809,0
15,Hawaii,1995,295.6000061,4.699999809,0
15,Hawaii,1996,280.6000061,3.400000095,0
15,Hawaii,1997,277.8999939,4,0
15,Hawaii,1998,246.8999939,2,0
15,Hawaii,1999,235,3.700000048,0
16,Idaho,1977,236.8999939,5.5,0
16,Idaho,1978,236.3999939,5.400000095,0
16,Idaho,1979,288.7000122,5.400000095,0
16,Idaho,1980,313.3999939,3.099999905,0
16,Idaho,1981,283.2999878,4.5,0
16,Idaho,1982,259.2000122,2.5,0
16,Idaho,1983,238.6999969,3.5,0
16,Idaho,1984,235.3000031,3.400000095,0
16,Idaho,1985,234.8000031,2.200000048,0
16,Idaho,1986,222.5,3.200000048,0
16,Idaho,1987,214.1999969,3.099999905,0
16,Idaho,1988,234.6999969,3.599999905,0
16,Idaho,1989,254.6000061,2.599999905,0
16,Idaho,1990,275.7000122,2.700000048,0
16,Idaho,1991,290.2999878,1.799999952,1
16,Idaho,1992,281.3999939,3.5,1
16,Idaho,1993,281.7999878,2.900000095,1
16,Idaho,1994,285.7999878,3.5,1
16,Idaho,1995,322,4.099999905,1
16,Idaho,1996,267.2000122,3.599999905,1
16,Idaho,1997,256.7999878,3.200000048,1
16,Idaho,1998,282.2000122,2.900000095,1
16,Idaho,1999,244.8999939,2,1
17,Illinois,1977,630.5999756,9.899999619,0
17,Illinois,1978,676.7000122,9.899999619,0
17,Illinois,1979,743.9000244,10.69999981,0
17,Illinois,1980,808,10.60000038,0
17,Illinois,1981,792.5,10.5,0
17,Illinois,1982,774.2999878,8.800000191,0
17,Illinois,1983,728.0999756,9.699999809,0
17,Illinois,1984,724.9000244,9,0
17,Illinois,1985,714.7999878,8,0
17,Illinois,1986,808.9000244,8.899999619,0
17,Illinois,1987,796.2000122,8.300000191,0
17,Illinois,1988,810.4000244,8.600000381,0
17,Illinois,1989,845.9000244,9,0
17,Illinois,1990,967.4000244,10.30000019,0
17,Illinois,1991,1039.199951,11.30000019,0
17,Illinois,1992,977.2999878,11.39999962,0
17,Illinois,1993,959.7000122,11.39999962,0
17,Illinois,1994,960.9000244,11.69999981,0
17,Illinois,1995,996.0999756,10.30000019,0
17,Illinois,1996,890.4000244,10,0
17,Illinois,1997,861.4000244,9.199999809,0
17,Illinois,1998,807.7000122,8.399999619,0
17,Illinois,1999,732.5,7.699999809,0
18,Indiana,1977,310.6000061,7.400000095,1
18,Indiana,1978,323.5,6.199999809,1
18,Indiana,1979,338,8.300000191,1
18,Indiana,1980,377.7999878,8.899999619,1
18,Indiana,1981,341.6000061,7.099999905,1
18,Indiana,1982,300.6000061,6.5,1
18,Indiana,1983,283.7999878,5.199999809,1
18,Indiana,1984,305.2000122,5.5,1
18,Indiana,1985,309.3999939,5.800000191,1
18,Indiana,1986,307.7000122,6,1
18,Indiana,1987,328.5,5.599999905,1
18,Indiana,1988,380,6.400000095,1
18,Indiana,1989,406.5,6.300000191,1
18,Indiana,1990,473.8999939,6.199999809,1
18,Indiana,1991,505.2999878,7.5,1
18,Indiana,1992,508.5,8.199999809,1
18,Indiana,1993,489.1000061,7.5,1
18,Indiana,1994,525.0999756,7.900000095,1
18,Indiana,1995,524.7000122,8,1
18,Indiana,1996,537,7.199999809,1
18,Indiana,1997,514.5999756,7.300000191,1
18,Indiana,1998,431,7.699999809,1
18,Indiana,1999,374.6000061,6.599999905,1
19,Iowa,1977,144,2.299999952,0
19,Iowa,1978,161.3999939,2.599999905,0
19,Iowa,1979,181.1999969,2.200000048,0
19,Iowa,1980,200.3999939,2.200000048,0
19,Iowa,1981,204.1999969,2.599999905,0
19,Iowa,1982,172.6999969,2.299999952,0
19,Iowa,1983,181.1000061,2.299999952,0
19,Iowa,1984,198.6999969,2,0
19,Iowa,1985,211.6999969,1.899999976,0
19,Iowa,1986,235.1000061,1.799999952,0
19,Iowa,1987,231.1999969,2.099999905,0
19,Iowa,1988,256.7999878,1.700000048,0
19,Iowa,1989,266.2999878,1.899999976,0
19,Iowa,1990,299.7000122,1.899999976,0
19,Iowa,1991,303.2999878,2,0
19,Iowa,1992,278,1.600000024,0
19,Iowa,1993,325.5,2.299999952,0
19,Iowa,1994,315.1000061,1.700000048,0
19,Iowa,1995,354.3999939,1.799999952,0
19,Iowa,1996,272.5,1.899999976,0
19,Iowa,1997,310,1.799999952,0
19,Iowa,1998,311.5,1.899999976,0
19,Iowa,1999,280,1.5,0
20,Kansas,1977,309.7999878,6.599999905,0
20,Kansas,1978,318.2000122,5.699999809,0
20,Kansas,1979,353.6000061,5.5,0
20,Kansas,1980,389.2999878,6.900000095,0
20,Kansas,1981,369.3999939,6.300000191,0
20,Kansas,1982,335.8999939,5.699999809,0
20,Kansas,1983,326.6000061,5.599999905,0
20,Kansas,1984,334.2000122,3.700000048,0
20,Kansas,1985,355.7999878,4.900000095,0
20,Kansas,1986,368.7999878,4.400000095,0
20,Kansas,1987,360.7000122,4.400000095,0
20,Kansas,1988,365.2000122,3.400000095,0
20,Kansas,1989,400.7999878,5.5,0
20,Kansas,1990,447.7000122,4,0
20,Kansas,1991,499.6000061,6.099999905,0
20,Kansas,1992,510.7999878,6,0
20,Kansas,1993,496.3999939,6.400000095,0
20,Kansas,1994,443,6.699999809,0
20,Kansas,1995,420.7000122,6.199999809,0
20,Kansas,1996,413.7999878,6.599999905,0
20,Kansas,1997,409.2000122,6,0
20,Kansas,1998,397,5.900000095,0
20,Kansas,1999,382.7999878,6,0
21,Kentucky,1977,233.6000061,10.10000038,0
21,Kentucky,1978,223.1999969,9,0
21,Kentucky,1979,248,9.5,0
21,Kentucky,1980,266.7000122,8.800000191,0
21,Kentucky,1981,289.5,8.399999619,0
21,Kentucky,1982,315,9.699999809,0
21,Kentucky,1983,322.2000122,9.800000191,0
21,Kentucky,1984,277.7999878,6.599999905,0
21,Kentucky,1985,305.5,6.900000095,0
21,Kentucky,1986,334.3999939,6.699999809,0
